"","TotalEDInpatientVisits","MajorRoadwayHighwayExposure","MaxDailyPM2.5Exposure_qcut","frequency"
"1",0,1,1,231
"2",0,2,1,134
"3",0,3,1,323
"4",0,4,1,336
"5",0,5,1,528
"6",0,1,2,196
"7",0,2,2,121
"8",0,3,2,302
"9",0,4,2,263
"10",0,5,2,617
"11",0,1,3,92
"12",0,2,3,96
"13",0,3,3,147
"14",0,4,3,176
"15",0,5,3,306
"16",0,1,4,57
"17",0,2,4,19
"18",0,3,4,76
"19",0,4,4,53
"20",0,5,4,92
"21",0,1,5,144
"22",0,2,5,66
"23",0,3,5,154
"24",0,4,5,209
"25",0,5,5,500
"26",1,1,1,44
"27",1,2,1,23
"28",1,3,1,44
"29",1,4,1,50
"30",1,5,1,84
"31",1,1,2,35
"32",1,2,2,36
"33",1,3,2,70
"34",1,4,2,54
"35",1,5,2,155
"36",1,1,3,27
"37",1,2,3,14
"38",1,3,3,49
"39",1,4,3,41
"40",1,5,3,55
"41",1,1,4,6
"42",1,2,4,5
"43",1,3,4,15
"44",1,4,4,13
"45",1,5,4,24
"46",1,1,5,42
"47",1,2,5,16
"48",1,3,5,46
"49",1,4,5,53
"50",1,5,5,135
"51",2,1,1,26
"52",2,2,1,12
"53",2,3,1,30
"54",2,4,1,33
"55",2,5,1,35
"56",2,1,2,27
"57",2,2,2,19
"58",2,3,2,67
"59",2,4,2,43
"60",2,5,2,114
"61",2,1,3,21
"62",2,2,3,13
"63",2,3,3,35
"64",2,4,3,47
"65",2,5,3,45
"66",2,1,4,5
"67",2,2,4,6
"68",2,3,4,13
"69",2,4,4,4
"70",2,5,4,9
"71",2,1,5,30
"72",2,2,5,18
"73",2,3,5,32
"74",2,4,5,61
"75",2,5,5,120
"76",3,1,1,5
"77",3,2,1,3
"78",3,3,1,5
"79",3,4,1,5
"80",3,5,1,13
"81",3,1,2,8
"82",3,2,2,3
"83",3,3,2,12
"84",3,4,2,10
"85",3,5,2,44
"86",3,1,3,5
"87",3,2,3,7
"88",3,3,3,9
"89",3,4,3,11
"90",3,5,3,17
"91",3,1,4,2
"92",3,2,4,3
"93",3,3,4,2
"94",3,4,4,1
"95",3,5,4,5
"96",3,1,5,11
"97",3,2,5,1
"98",3,3,5,12
"99",3,4,5,16
"100",3,5,5,22
"101",4,1,1,2
"102",4,2,1,2
"103",4,3,1,2
"104",4,4,1,4
"105",4,5,1,2
"106",4,1,2,4
"107",4,2,2,1
"108",4,3,2,6
"109",4,4,2,5
"110",4,5,2,13
"111",4,1,3,3
"112",4,2,3,1
"113",4,3,3,6
"114",4,4,3,5
"115",4,5,3,3
"116",4,1,4,1
"117",4,2,4,0
"118",4,3,4,1
"119",4,4,4,1
"120",4,5,4,3
"121",4,1,5,3
"122",4,2,5,4
"123",4,3,5,7
"124",4,4,5,3
"125",4,5,5,11
"126",5,1,1,0
"127",5,2,1,0
"128",5,3,1,2
"129",5,4,1,0
"130",5,5,1,0
"131",5,1,2,0
"132",5,2,2,2
"133",5,3,2,3
"134",5,4,2,1
"135",5,5,2,7
"136",5,1,3,1
"137",5,2,3,2
"138",5,3,3,0
"139",5,4,3,8
"140",5,5,3,1
"141",5,1,4,0
"142",5,2,4,0
"143",5,3,4,2
"144",5,4,4,1
"145",5,5,4,0
"146",5,1,5,0
"147",5,2,5,0
"148",5,3,5,5
"149",5,4,5,5
"150",5,5,5,4
"151",6,1,1,0
"152",6,2,1,0
"153",6,3,1,0
"154",6,4,1,0
"155",6,5,1,0
"156",6,1,2,2
"157",6,2,2,2
"158",6,3,2,2
"159",6,4,2,0
"160",6,5,2,1
"161",6,1,3,0
"162",6,2,3,0
"163",6,3,3,1
"164",6,4,3,3
"165",6,5,3,1
"166",6,1,4,2
"167",6,2,4,0
"168",6,3,4,0
"169",6,4,4,0
"170",6,5,4,0
"171",6,1,5,1
"172",6,2,5,0
"173",6,3,5,0
"174",6,4,5,3
"175",6,5,5,2
"176",7,1,1,0
"177",7,2,1,0
"178",7,3,1,1
"179",7,4,1,0
"180",7,5,1,0
"181",7,1,2,1
"182",7,2,2,0
"183",7,3,2,1
"184",7,4,2,0
"185",7,5,2,3
"186",7,1,3,0
"187",7,2,3,0
"188",7,3,3,0
"189",7,4,3,0
"190",7,5,3,0
"191",7,1,4,0
"192",7,2,4,0
"193",7,3,4,0
"194",7,4,4,0
"195",7,5,4,0
"196",7,1,5,1
"197",7,2,5,1
"198",7,3,5,1
"199",7,4,5,1
"200",7,5,5,2
"201",8,1,1,0
"202",8,2,1,0
"203",8,3,1,0
"204",8,4,1,0
"205",8,5,1,1
"206",8,1,2,0
"207",8,2,2,0
"208",8,3,2,1
"209",8,4,2,0
"210",8,5,2,1
"211",8,1,3,0
"212",8,2,3,0
"213",8,3,3,0
"214",8,4,3,0
"215",8,5,3,0
"216",8,1,4,0
"217",8,2,4,0
"218",8,3,4,0
"219",8,4,4,0
"220",8,5,4,0
"221",8,1,5,0
"222",8,2,5,0
"223",8,3,5,0
"224",8,4,5,0
"225",8,5,5,2
"226",9,1,1,0
"227",9,2,1,0
"228",9,3,1,0
"229",9,4,1,0
"230",9,5,1,0
"231",9,1,2,0
"232",9,2,2,1
"233",9,3,2,1
"234",9,4,2,2
"235",9,5,2,2
"236",9,1,3,0
"237",9,2,3,2
"238",9,3,3,0
"239",9,4,3,0
"240",9,5,3,0
"241",9,1,4,0
"242",9,2,4,0
"243",9,3,4,0
"244",9,4,4,0
"245",9,5,4,0
"246",9,1,5,0
"247",9,2,5,0
"248",9,3,5,0
"249",9,4,5,0
"250",9,5,5,1
